idPessoa;matricula;cargo;departamento;dataContratacao;salarioBase;status;tipoContrato;cargaHoraria;emailCorporativo;telefoneRamal;telefoneCelularCorporativo
33;PRO-33-1992;Analista de Dados;Produtos;2021-12-25;18824.06;Desligado;Estágio;30;maria.novaes@produtoscorp.com;(61) 3552-7942;(61) 98552-4414
34;MAR-34-1998;Analista de Dados;Marketing;2025-03-20;3826.7;Licença Maternidade;Estágio;30;bernardo.freitas@marketingcorp.com;(61) 3552-4528;(61) 98552-2593
35;MAR-35-2025;Gerente de Projetos;Marketing;2024-07-04;15821.3;Ativo;Temporário;30;heloisa.lopes@marketingcorp.com;(61) 3552-9886;(61) 98552-4936
36;PRO-36-1973;Desenvolvedor Full-Stack;Produtos;2023-12-12;19483.88;Ativo;PJ;40;rael.costa@produtoscorp.com;(61) 3552-2057;(61) 98552-3203
37;VEN-37-2001;Desenvolvedor Full-Stack;Vendas;2024-07-07;18115.69;Desligado;Temporário;30;hellena.cruz@vendascorp.com;(61) 3552-2036;(61) 98552-6079
38;JUR-38-2000;Especialista em RH;Jurídico;2024-06-12;3662.87;Ativo;Estágio;44;maria.porto@jurídicocorp.com;(61) 3552-6433;(61) 98552-2947
39;JUR-39-1980;Gerente de Projetos;Jurídico;2021-10-12;3352.96;Férias;PJ;40;sarah.garcia@jurídicocorp.com;(61) 3552-4973;(61) 98552-3807
40;OPE-40-2006;Coordenador de Vendas;Operações;2023-05-01;13628.79;Ativo;Temporário;40;erick.mendonça@operaçõescorp.com;(61) 3552-8001;(61) 98552-5839
41;PRO-41-1976;Analista Financeiro;Produtos;2025-07-07;4518.79;Férias;CLT;30;gustavo.rios@produtoscorp.com;(61) 3552-2017;(61) 98552-6335
42;JUR-42-1980;Técnico de Suporte;Jurídico;2022-08-12;18822.82;Desligado;PJ;40;sra..jesus@jurídicocorp.com;(61) 3552-1101;(61) 98552-1645
43;FIN-43-2007;Técnico de Suporte;Financeiro;2021-02-10;10445.47;Licença Maternidade;PJ;40;ana.neves@financeirocorp.com;(61) 3552-2461;(61) 98552-3054
44;TI-44-2017;Gerente de Projetos;TI;2022-12-19;19115.66;Ativo;Temporário;44;luigi.rocha@ticorp.com;(61) 3552-4712;(61) 98552-4978
45;OPE-45-1988;Analista Financeiro;Operações;2023-06-14;9732.25;Desligado;CLT;44;vitor.moraes@operaçõescorp.com;(61) 3552-2538;(61) 98552-2710
46;MAR-46-1987;Designer UX/UI;Marketing;2024-08-16;13809.19;Licença Maternidade;Temporário;30;leandro.azevedo@marketingcorp.com;(61) 3552-7095;(61) 98552-5015
47;OPE-47-2013;Analista de Dados;Operações;2025-08-27;11854.5;Ativo;Temporário;40;maria.silva@operaçõescorp.com;(61) 3552-3128;(61) 98552-9042
48;OPE-48-1976;Analista Financeiro;Operações;2022-08-08;14504.99;Férias;Estágio;44;dr..cruz@operaçõescorp.com;(61) 3552-4280;(61) 98552-7661
49;VEN-49-1991;Analista Financeiro;Vendas;2022-05-24;18988.8;Licença Maternidade;PJ;44;benjamim.brito@vendascorp.com;(61) 3552-1963;(61) 98552-7771
50;PRO-50-2008;Desenvolvedor Full-Stack;Produtos;2022-10-19;12075.31;Ativo;PJ;30;ágatha.silveira@produtoscorp.com;(61) 3552-2266;(61) 98552-1437
