cpf;nome;email;telefone;linkCurriculo;status;departamento;perfilProfissional;curriculo
027.158.364-90;Kaique Mendonça;livia44@example.com;+55 81 4477 0108;https://curriculo-ficticio.com/id7048;Candidato Ativo;Financeiro;Engenheiro de Dados Júnior;Fuga aut repudiandae autem mollitia modi distinctio eos.
859.631.402-42;Evelyn Pastor;nicolas23@example.org;11 3400-2133;https://curriculo-ficticio.com/id4353;Entrevista Final;Financeiro;Gerente Comercial;Corporis facilis saepe nam ab fuga.
456.071.839-39;Gael Henrique Farias;vguerra@example.org;51 9911 1863;https://curriculo-ficticio.com/id4016;Em Avaliação;Financeiro;Analista Financeiro Pleno;Debitis commodi provident inventore minima nulla numquam quas. Similique alias fugit ut excepturi iste explicabo porro.
645.301.789-00;Sara Borges;pintoaugusto@example.org;(051) 3273 5566;https://curriculo-ficticio.com/id2065;Rejeitado;Financeiro;Desenvolvedor Back-End;Inventore reiciendis animi assumenda porro est saepe. Quae illum libero quidem.
975.362.810-21;Dr. Diego Moreira;gmelo@example.net;(011) 3562 5893;https://curriculo-ficticio.com/id3231;Em Avaliação;TI;Desenvolvedor Back-End;Perspiciatis distinctio itaque unde suscipit animi veritatis. At molestias quod autem cumque illum perferendis.
083.749.516-48;Luana Lopes;lucas-gabriel20@example.com;+55 31 1579 8854;https://curriculo-ficticio.com/id7554;Candidato Ativo;TI;Desenvolvedor Back-End;Aut quisquam delectus aperiam consequatur similique.
647.318.095-84;Brayan Rezende;fgoncalves@example.org;+55 71 5431 5128;https://curriculo-ficticio.com/id8289;Rejeitado;RH;Recrutador Tech;Nam ducimus molestiae similique ab non.
187.653.904-66;Alana Aragão;raquelcosta@example.com;+55 21 1667-4356;https://curriculo-ficticio.com/id7952;Rejeitado;Financeiro;Analista Financeiro Pleno;Pariatur ipsum assumenda enim quos. Repudiandae dignissimos asperiores laborum voluptatibus pariatur inventore.
579.416.832-37;Luara Pastor;brodrigues@example.com;84 4300 8976;https://curriculo-ficticio.com/id2942;Candidato Ativo;Financeiro;Desenvolvedor Back-End;Reiciendis quibusdam aut blanditiis ea.
197.485.230-04;Hellena Moura;da-conceicaomaria-flor@example.net;51 0626 7768;https://curriculo-ficticio.com/id4884;Rejeitado;TI;Engenheiro de Dados Júnior;Adipisci minus reprehenderit commodi in repudiandae.
850.264.139-51;Liam da Rocha;rgomes@example.org;+55 51 3679 3444;https://curriculo-ficticio.com/id9470;Em Avaliação;Marketing;Desenvolvedor Back-End;Placeat natus quisquam illum dolor. Architecto sunt totam et cupiditate.
659.147.382-37;Maria Helena Cassiano;frocha@example.org;+55 81 1105 5971;https://curriculo-ficticio.com/id9896;Rejeitado;Financeiro;Desenvolvedor Back-End;Consequuntur nulla unde quod laudantium ut ex. Dicta tempora temporibus cupiditate ex eligendi cumque.
